GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
maven-quickstart,org.example,Produto,11,17,0,0,5,6,3,3,3,3
maven-quickstart,org.example,App,7,0,0,0,3,0,2,0,2,0
